id,year,birth_city,birth_country,birth_city_latitude,birth_city_longitude
1,1901,Rotterdam,Netherlands,51.9244201,4.4777325
2,1901,Paris,France,48.856614,2.3522219
3,1901,Hansdorf (Lawice),Prussia (Poland),53.5826184,19.6568465
4,1901,Geneva,Switzerland,46.2043907,6.1431577
5,1901,Paris,France,48.856614,2.3522219
6,1901,Lennep (Remscheid),Prussia (Germany),51.1897588,7.2666284
7,1902,Euskirchen,Prussia (Germany),50.6574392,6.7899945
8,1902,Garding,Schleswig (Germany),54.3295187,8.7865482
9,1902,Almora,India,29.5892407,79.646666
10,1902,Geneva,Switzerland,46.2043907,6.1431577
11,1902,Tramelan,Switzerland,47.2235029,7.102975
12,1902,Arnhem,Netherlands,51.9851034,5.8987296
13,1902,Zonnemaire,Netherlands,51.7130521,3.9518196
14,1903,Vik,Sweden,55.6144259,14.2851622
15,1903,Kvikne,Norway,62.5812519,10.2828531
16,1903,Thorshavn,Faroe Islands (Denmark),62.0107248,-6.7740852
17,1903,Fareham,United Kingdom,50.8548464,-1.1865868
18,1903,Paris,France,48.856614,2.3522219
19,1903,Paris,France,48.856614,2.3522219
20,1903,Warsaw,Russian Empire (Poland),52.2296756,21.0122287
21,1904,Glasgow,Scotland,55.8616704,-4.2583345
22,1904,Maillane,France,43.832349,4.782098
23,1904,Madrid,Spain,40.4167754,-3.7037902
24,1904,Ryazan,Russia,54.6095418,39.7125857
26,1904,Langford Grove Maldon Essex,United Kingdom,51.7597899,0.6704065
27,1905,Berlin,Prussia (Germany),52.5200066,13.404954
28,1905,Wola Okrzejska,Poland,51.7494805,22.1336434
29,1905,Clausthal (Clausthal-Zellerfeld),Germany,51.8080063,10.340707
30,1905,Prague,Austrian Empire (Czech Republic),50.0755381,14.4378005
31,1905,Pressburg (Bratislava),Hungary (Slovakia),47.162494,19.503304
32,1906,Paris,France,48.856614,2.3522219
33,1906,Val di Castello,Tuscany (Italy),43.9579689,10.2639186
34,1906,Corteno,Italy,46.1652608,10.2365387
35,1906,Petilla de Arag¨®,Spain,42.4614395,-1.0924468
36,1906,New York,United States of America,40.7127753,-74.0059728
37,1906,Cheetham Hill,United Kingdom,53.5021101,-2.2368975
38,1907,Munich,Bavaria (Germany),48.1351253,11.5819806
39,1907,Bombay,British India (India),19.0759837,72.8776559
40,1907,Paris,France,48.856614,2.3522219
41,1907,Milan,Austrian Empire (Italy),45.4642035,9.189982
42,1907,Autun,France,46.950914,4.301565
43,1907,Strelno (Strzelno),Prussia (Poland),52.62772,18.17266
44,1908,Nelson,New Zealand,-41.2985321,173.2443635
45,1908,Aurich,East Friesland (Germany),53.472548,7.4833137
46,1908,Kharkov (Kharkiv),Russian Empire (Ukraine),49.9935,36.230383
47,1908,Strehlen (Strzelin),Prussia (Poland),50.7812167,17.0646124
48,1908,Gothenburg,Sweden,57.70887,11.97456
49,1908,N?stved,Denmark,55.224613,11.759207
50,1908,Hollerich,Luxembourg,49.6040705,6.1121429
51,1909,Riga,Russian Empire (Latvia),56.9676941,24.1056221
52,1909,M?rbacka,Sweden,57.7401023,13.4196967
53,1909,Berne,Switzerland,46.9479739,7.4474468
54,1909,Ostend,Belgium,51.2246631,2.9091818
55,1909,La Fl¨¨che,France,47.69589,-0.074646
56,1909,Bologna,Italy,44.494887,11.3426163
57,1909,Fulda,Hesse-Kassel (Germany),51.3127114,9.4797461
58,1910,Koenigsberg (Kaliningrad),Germany (Russia),51.165691,10.451526
59,1910,Berlin,Prussia (Germany),52.5200066,13.404954
60,1910,Rostock,Mecklenburg (Germany),54.0924406,12.0991466
62,1910,Leiden,Netherlands,52.1601144,4.4970097
63,1911,Warsaw,Russian Empire (Poland),52.2296756,21.0122287
64,1911,Ghent,Belgium,51.0500182,3.7303351
65,1911,Landskrona,Sweden,55.8703477,12.8300802
66,1911,Amsterdam,Netherlands,52.3675734,4.9041389
67,1911,Vienna,Austria,48.2081743,16.3738189
68,1911,Gaffken (Parusnoye),Prussia (Russia),51.58842,39.5269543
69,1912,Cherbourg,France,49.6338979,-1.622224
70,1912,Carcassonne,France,43.2132151,2.3517703
71,1912,Bad Salzbrunn,Prussia (Germany),50.810462,16.247897
72,1912,Sainte-Foy-l¨¨s-Lyon,France,45.735237,4.804827
73,1912,Clinton,United States of America,43.0484029,-75.3785034
74,1912,Stenstorp,Sweden,58.2740016,13.7142087
75,1913,Mulhouse,France,47.750839,7.335888
76,1913,Calcutta,India,22.572646,88.363895
77,1913,Paris,France,48.856614,2.3522219
78,1913,Brussels,Belgium,50.8476424,4.3571696
79,1913,Groningen,Netherlands,53.2193835,6.5665018
80,1914,Germantown,United States of America,40.0292648,-75.174598
81,1914,Vienna,Austria,48.2081743,16.3738189
82,1914,Pfaffendorf,Germany,50.911275,14.0748638
83,1915,Karlsruhe,Germany,49.0068901,8.4036527
84,1915,Clamecy,France,47.459605,3.518769
85,1915,Wigton,United Kingdom,54.825544,-3.161231
86,1915,Adelaide,Australia,-34.9284989,138.6007456
87,1916,Olshammar,Sweden,58.7536282,14.7980293
88,1917,Roholte,Denmark,55.194519,12.089752
89,1917,Fredericia,Denmark,55.5689298,9.749517
91,1917,Widnes,United Kingdom,53.361024,-2.733637
92,1918,Breslau (Wroclaw),Prussia (Poland),51.1078852,17.0385376
93,1918,Kiel,Schleswig (Germany),54.3232927,10.1227652
94,1919,Liestal,Switzerland,47.4866143,7.7334272
95,1919,Soignies,Belgium,50.5793035,4.0666287
96,1919,Staunton,United States of America,38.149576,-79.0716958
97,1919,Schickenhof,Germany,51.165691,10.451526
98,1920,Briesen,Prussia (Germany),52.3401613,14.2767893
99,1920,Lom,Norway,61.8377182,8.5686169
100,1920,Gren?,Denmark,56.411808,10.894919
101,1920,Paris,France,48.856614,2.3522219
102,1920,Fleurier,Switzerland,46.9023107,6.5808426
103,1921,Eastbourne,United Kingdom,50.768035,0.290472
104,1921,Paris,France,48.856614,2.3522219
105,1921,Stockholm,Sweden,59.3293235,18.0685808
106,1921,Stavanger,Norway,58.9699756,5.7331073
107,1921,Ulm,Germany,48.4010822,9.9876076
108,1922,Harborne,United Kingdom,52.4597094,-1.961668
109,1922,Madrid,Spain,40.4167754,-3.7037902
110,1922,Bristol,United Kingdom,51.454513,-2.58791
111,1922,Hanover,Germany,52.3758916,9.7320104
112,1922,Kristiania (Oslo),Norway,59.9138688,10.7522454
113,1922,Copenhagen,Denmark,55.6760968,12.5683371
114,1923,Laibach (Ljubljana),Austria-Hungary (Slovenia),46.0569465,14.5057515
115,1923,Dublin,Ireland,53.3498053,-6.2603097
116,1923,Alliston,Canada,44.1539514,-79.8691544
117,1923,Cluny,Scotland,57.204922,-2.5173009
118,1923,Morrison,United States of America,41.809751,-89.9651186
119,1924,Kobiele Wielkie,Russian Empire (Poland),51.0315709,19.6249295
120,1924,Semarang,Java,-7.0051453,110.4381254
121,1924,Lund,Sweden,55.7046601,13.1910073
122,1925,Vienna,Austrian Empire (Austria),48.2081743,16.3738189
123,1925,Dublin,Ireland,53.3498053,-6.2603097
124,1925,Birmingham,United Kingdom,52.486243,-1.890401
125,1925,Marietta,United States of America,39.415352,-81.4548436
126,1925,Hamburg,Germany,53.5488282,9.9871703
127,1925,Hamburg,Germany,53.5488282,9.9871703
128,1926,Fler?ng,Sweden,60.128161,18.643501
129,1926,Nuoro,Italy,40.3202421,9.3264377
130,1926,Silkeborg,Denmark,56.176362,9.5549216
131,1926,Nantes,France,47.218371,-1.553621
132,1926,Berlin,Germany,52.5200066,13.404954
133,1926,Lille,France,50.62925,3.057256
134,1927,Pforzheim,Germany,48.8921862,8.6946286
135,1927,Paris,France,48.856614,2.3522219
136,1927,Wels,Austria,48.16542,14.03664
137,1927,Paris,France,48.856614,2.3522219
138,1927,Bremen,Germany,53.0792962,8.8016937
139,1927,Wooster,United States of America,40.798237,-81.9399145
140,1927,Glencorse,Scotland,55.8619946,-3.2526271
141,1928,Berlin,Germany,52.5200066,13.404954
142,1928,Kalundborg,Denmark,55.686429,11.089188
143,1928,Rouen,France,49.443232,1.099971
144,1928,Dewsbury,United Kingdom,53.689833,-1.6296949
145,1929,Manchester,United Kingdom,53.4807593,-2.2426305
146,1929,Augsburg,Germany,48.3705449,10.89779
147,1929,L¨¹beck,Germany,53.8654673,10.6865593
148,1929,Nijkerk,Netherlands,52.2224835,5.4835625
149,1929,Eastbourne,United Kingdom,50.768035,0.290472
150,1929,Potsdam,United States of America,44.6697805,-74.9813084
151,1929,Dieppe,France,49.922992,1.077483
152,1930,Hoechst,Germany,50.102482,8.5474571
153,1930,Sauk Centre,United States of America,45.737465,-94.9525216
154,1930,Vienna,Austrian Empire (Austria),48.2081743,16.3738189
155,1930,Tr?n?,Sweden,61.3965122,16.8336653
156,1930,Tiruchirappalli,India,10.7904833,78.7046725
157,1931,Cologne,Germany,50.937531,6.9602786
158,1931,Goldschmieden,Germany (Poland),51.1078852,17.0385376
